구,연도,강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구,1인가구수,단독주택_계,단독주택_남자,단독주택_여자,아파트_계,아파트_남자,아파트_여자,연립주택_계,연립주택_남자,연립주택_여자,다세대주택_계,다세대주택_남자,다세대주택_여자,비주거용 건물내 주택_계,비주거용 건물내 주택_남자,비주거용 건물내 주택_여자,일반수급자 65 ~ 69세,일반수급자 70 ~ 74세,일반수급자 75 ~ 79세,일반수급자 80세 이상,값,기초생활수급자비율,저소득노인_65~79비율,저소득노인_80이상비율,노령화지수,총인구,총인구_남자,총인구_여자,전년 대비 증감,증감률,1인가구_비율,65세 이상,0~14세,소비자물가
강남구,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54052.0,8463.4,11321.6,14186.9,5027.8,9159.1,883.0,333.4,549.6,9600.9,3614.6,5986.3,2301.4,1076.5,1224.9,7294.9,187.4,466.4,441.1,153.4,8.2,-2.75,30.09,25.56,6.42,520799.7,249840.4,270959.3,-87.6,0.4,10.33,4943.0,70885.1,89.257
강남구,2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56542.1,8511.7,11135.9,15443.5,5514.1,9929.4,926.9,358.8,568.1,10223.2,3948.4,6274.8,2273.1,1070.2,1202.9,8027.8,399.9,603.3,557.0,353.5,8.7,-0.53,26.66,22.88,7.77,518807.1,248824.7,269982.4,279.6,0.8,10.87,5694.9,69990.6,91.477
강남구,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59032.1,8560.0,10950.3,16700.0,6000.4,10699.6,970.7,384.1,586.6,10845.6,4282.3,6563.3,2244.9,1063.9,1181.0,8760.7,612.4,740.3,672.9,553.7,9.1,1.7,23.22,20.2,9.12,516814.6,247809.0,269005.6,646.9,1.3,11.41,6446.7,69096.1,93.696
강남구,2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62774.0,8487.0,10772.0,19654.0,7204.0,12450.0,1074.0,432.0,642.0,11334.0,4553.0,6781.0,2143.0,1027.0,1116.0,9310.0,878.0,846.0,756.0,779.0,8.0,4.91,4.64,6.81,11.09,522514.0,250087.0,272427.0,776.0,1.3,12.36,7607.0,68591.0,97.645
강남구,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62727.0,8593.0,10445.0,18614.0,6715.0,11899.0,1045.0,433.0,612.0,11888.0,4935.0,6953.0,2222.0,1057.0,1165.0,9920.0,979.0,970.0,874.0,924.0,12.0,6.15,45.66,36.18,11.75,507810.0,243579.0,264231.0,-47.0,-0.1,12.0,7834.0,66657.0,99.086
강남구,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66073.0,8876.0,10411.0,19693.0,7115.0,12578.0,1066.0,450.0,616.0,12763.0,5286.0,7477.0,2242.0,1087.0,1155.0,11022.0,1196.0,1184.0,1070.0,1153.0,10.0,8.61,1.68,4.44,12.57,509199.0,244403.0,264796.0,3346.0,5.3,12.98,8393.0,66767.0,99.466
강남구,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68999.0,8859.0,10334.0,20554.0,7413.0,13141.0,1092.0,453.0,639.0,13708.0,5716.0,7992.0,2113.0,1026.0,1087.0,12339.0,1446.0,1357.0,1182.0,1333.0,11.0,9.98,8.87,7.07,13.9,508135.0,243322.0,264813.0,2926.0,4.4,13.58,9162.0,65904.0,100.0
강남구,2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71986.0,8861.0,10173.0,22761.0,8410.0,14351.0,1194.0,516.0,678.0,14241.0,6038.0,8203.0,2126.0,1053.0,1073.0,12630.0,1770.0,1449.0,1278.0,1566.0,12.0,10.19,2.19,5.48,15.95,503019.0,240842.0,262177.0,2987.0,4.3,14.31,10292.0,64520.0,102.5
강남구,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73579.0,8776.0,9711.0,24116.0,8925.0,15191.0,1244.0,541.0,703.0,14507.0,6263.0,8244.0,2033.0,1008.0,1025.0,13192.0,1936.0,1585.0,1330.0,1801.0,13.0,15.06,1.17,2.49,17.71,500149.0,239430.0,260719.0,1593.0,2.2,14.4,11031.0,62278.0,107.72
강남구,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76809.0,8821.0,9608.0,26691.0,9838.0,16853.0,1308.0,575.0,733.0,14904.0,6533.0,8371.0,2044.0,1012.0,1032.0,13433.0,2032.0,1626.0,1464.0,1925.0,11.0,19.18,2.04,3.91,18.56,511084.0,244560.0,266524.0,3230.0,4.4,15.36,11860.0,63911.0,111.59
강동구,2014,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27044.0,8974.6,8442.1,2261.4,1223.6,1037.9,261.6,102.4,159.1,3468.0,1602.1,1865.9,931.9,476.4,455.6,2704.4,-297.4,17.9,325.2,-180.5,19.6,46.63,8.24,21.55,7.24,397947.4,198911.6,199035.7,803.6,3.8,6.08,3531.9,50236.4,89.257
강동구,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31067.1,9175.2,8532.9,3964.6,1801.5,2163.1,288.2,112.2,176.0,4684.6,2125.9,2558.8,1029.3,541.6,487.6,3392.4,-13.0,200.0,435.2,92.5,20.6,43.23,7.75,20.47,9.34,404104.8,201373.6,202731.2,1228.6,4.4,7.03,4658.3,50498.3,91.477
강동구,2016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35090.3,9375.9,8623.6,5667.7,2379.4,3288.3,314.9,122.0,192.9,5901.3,2649.7,3251.6,1126.6,606.9,519.7,4080.4,271.3,382.0,545.1,365.6,21.6,39.83,7.25,19.4,11.44,410262.3,203835.6,206426.7,1653.6,4.9,7.98,5784.7,50760.1,93.696
