구,연도,강남구,강동구,강북구,강서구,관악구,광진구,구로구,금천구,노원구,도봉구,동대문구,동작구,마포구,서대문구,서초구,성동구,성북구,송파구,양천구,영등포구,용산구,은평구,종로구,중구,중랑구,단독주택_계,아파트_계,연립주택_계,다세대주택_계,비주거용 건물내 주택_계,값,노령화지수,총인구,총인구_남자,총인구_여자,전년 대비 증감,증감률,1인가구_비율,20세 미만,65세 이상,0~14세,소비자물가,저소득노인_65~79비율,저소득노인_80이상비율,기초생활수급자총인원,기초생활수급자비율
강남구,2017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8487,7204,432,4553,1027,8,11.09,522514,250087,272427,776,1.3,12.36,539,7607,68591,97.645,4.64,6.81,1706,22.43
강남구,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8593,6715,433,4935,1057,12,11.75,507810,243579,264231,-47,-0.1,12.0,421,7834,66657,99.086,45.66,36.18,1840,23.49
강남구,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8876,7115,450,5286,1087,10,12.57,509199,244403,264796,3346,5.3,12.98,607,8393,66767,99.466,1.68,4.44,2959,35.26
강남구,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8859,7413,453,5716,1026,11,13.9,508135,243322,264813,2926,4.4,13.58,498,9162,65904,100.0,8.87,7.07,3994,43.59
강남구,2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8861,8410,516,6038,1053,12,15.95,503019,240842,262177,2987,4.3,14.31,397,10292,64520,102.5,2.19,5.48,3970,38.57
강남구,2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8776,8925,541,6263,1008,13,17.71,500149,239430,260719,1593,2.2,14.4,465,11031,62278,107.72,1.17,2.49,3492,31.66
강남구,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8821,9838,575,6533,1012,11,18.56,511084,244560,266524,3230,4.4,15.36,342,11860,63911,111.59,2.04,3.91,3660,30.86
강동구,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9735,3300,143,3244,751,19,14.46,423978,209931,214047,1581,4.0,9.15,162,7506,51894,97.645,5.59,15.33,2415,32.17
강동구,2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9655,3235,152,3608,755,27,16.04,414231,204752,209479,1076,2.6,9.43,144,7917,49358,99.086,7.1,12.66,2304,29.1
강동구,2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9839,3860,131,4100,767,24,17.45,415287,204807,210480,3062,7.3,10.91,157,8694,49823,99.466,6.86,25.22,2891,33.25
강동구,2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10120,4576,146,4869,731,26,18.26,444434,218299,226135,5128,11.3,12.12,152,9876,54071,100.0,5.02,16.56,3686,37.32
강동구,2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10525,5652,181,5341,936,28,21.14,451099,220916,230183,6589,13.1,12.8,150,11459,54212,102.5,4.58,14.59,4437,38.72
강동구,2022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10678,5885,168,5785,984,30,24.01,448655,219114,229541,2847,5.0,13.25,145,12614,52544,107.72,4.03,12.3,4977,39.46
강동구,2023,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10697,6330,207,6268,1151,25,27.52,446561,217965,228596,3191,5.3,14.85,140,13966,50751,111.59,3.8,9.1,5527,39.57
